,first_output_size,second_output_size,final_hidden_size,batch_size,epoch_num,train_accuracy,accuracy_except_0_and_1000,first_number_accuracy,second_number_accuracy
0,128,32,512,128,25,74.55,59.53,8.9,50.62
0,128,32,512,128,30,78.0,59.21,8.8,50.41
0,256,8,128,32,10,36.25,45.53,9.65,35.88
0,256,8,128,32,15,36.41,45.65,10.02,35.63
0,256,8,128,32,20,36.47,46.13,9.96,36.17
0,256,8,128,32,25,40.56,50.43,9.67,40.76
0,256,8,128,32,30,44.05,52.23,8.58,43.65
0,256,8,128,64,10,46.88,54.15,8.58,45.57
0,256,8,128,64,15,50.09,55.59,9.02,46.57
0,256,8,128,64,20,54.08,55.74,8.73,47.01
0,256,8,128,64,25,57.91,55.25,8.4,46.84
0,256,8,128,64,30,61.28,55.07,8.1,46.98
0,256,8,128,128,10,35.85,45.26,9.59,35.67
0,256,8,128,128,15,37.59,50.27,9.97,40.31
0,256,8,128,128,20,46.79,54.46,8.32,46.14
0,256,8,128,128,25,49.19,55.99,8.71,47.28
0,256,8,128,128,30,52.66,56.52,8.65,47.88
0,256,8,256,32,10,45.97,53.59,8.17,45.42
0,256,8,256,32,15,48.05,54.93,8.57,46.37
0,256,8,256,32,20,50.15,55.46,8.46,46.99
0,256,8,256,32,25,52.57,55.28,8.15,47.13
0,256,8,256,32,30,54.95,54.84,7.82,47.02
0,256,8,256,64,10,36.49,45.95,9.92,36.03
0,256,8,256,64,15,43.23,52.38,9.06,43.32
0,256,8,256,64,20,46.23,53.76,8.03,45.73
0,256,8,256,64,25,47.62,54.56,8.55,46.0
0,256,8,256,64,30,49.4,55.09,8.57,46.52
0,256,8,256,128,10,36.06,45.48,9.72,35.76
0,256,8,256,128,15,36.4,45.7,9.53,36.17
0,256,8,256,128,20,44.84,52.75,8.34,44.4
0,256,8,256,128,25,47.1,54.69,8.62,46.07
0,256,8,256,128,30,48.8,55.14,8.2,46.94
0,256,8,512,32,10,55.41,57.96,8.49,49.47
0,256,8,512,32,15,61.98,57.91,8.72,49.19
0,256,8,512,32,20,66.51,57.21,8.44,48.77
0,256,8,512,32,25,69.35,56.55,8.06,48.48
0,256,8,512,32,30,70.95,56.17,8.14,48.03
0,256,8,512,64,10,56.57,57.34,8.51,48.83
0,256,8,512,64,15,65.09,56.79,8.41,48.38
0,256,8,512,64,20,70.2,56.14,8.05,48.09
0,256,8,512,64,25,72.79,55.91,7.87,48.04
0,256,8,512,64,30,74.13,55.77,8.02,47.75
0,256,8,512,128,10,55.35,57.23,8.75,48.48
0,256,8,512,128,15,64.88,56.68,8.57,48.12
0,256,8,512,128,20,70.55,56.59,8.26,48.33
0,256,8,512,128,25,73.35,55.52,8.08,47.43
0,256,8,512,128,30,74.97,55.67,8.13,47.53
0,256,16,128,32,10,50.67,56.35,8.6,47.75
0,256,16,128,32,15,54.96,56.88,8.41,48.47
0,256,16,128,32,20,59.16,56.48,8.34,48.15
0,256,16,128,32,25,61.98,55.57,8.29,47.28
0,256,16,128,32,30,64.0,55.53,7.99,47.54
0,256,16,128,64,10,50.56,56.8,8.53,48.26
0,256,16,128,64,15,56.04,57.29,8.4,48.88
0,256,16,128,64,20,61.96,56.69,7.74,48.95
0,256,16,128,64,25,66.37,55.64,7.76,47.88
0,256,16,128,64,30,69.0,55.7,7.65,48.05
0,256,16,128,128,10,36.9,46.52,9.9,36.62
0,256,16,128,128,15,45.59,53.67,8.84,44.83
0,256,16,128,128,20,48.49,55.38,8.61,46.77
0,256,16,128,128,25,52.23,56.9,8.54,48.36
0,256,16,128,128,30,57.1,56.87,8.5,48.37
0,256,16,256,32,10,47.02,54.85,8.39,46.46
0,256,16,256,32,15,48.91,56.09,8.83,47.26
0,256,16,256,32,20,50.85,56.27,8.6,47.67
0,256,16,256,32,25,52.53,55.93,8.22,47.71
0,256,16,256,32,30,54.11,55.89,8.16,47.73
0,256,16,256,64,10,37.95,47.36,9.9,37.46
0,256,16,256,64,15,44.49,53.36,8.84,44.52
0,256,16,256,64,20,48.75,56.37,8.73,47.64
