,first_output_size,second_output_size,final_hidden_size,batch_size,epoch_num,train_accuracy,accuracy_except_0_and_1000,first_number_accuracy,second_number_accuracy
0,128,8,512,32,15,58.0,56.97,8.32,48.66
0,128,8,512,32,20,62.63,56.63,8.04,48.59
0,128,8,512,32,25,65.67,55.84,7.83,48.01
0,128,8,512,32,30,67.4,55.54,8.12,47.42
0,128,8,512,64,10,55.51,58.13,8.51,49.62
0,128,8,512,64,15,63.53,57.8,8.57,49.23
0,128,8,512,64,20,69.15,56.47,7.9,48.57
0,128,8,512,64,25,72.43,56.47,8.1,48.37
0,128,8,512,64,30,74.38,56.63,7.76,48.87
0,128,8,512,128,10,48.42,56.22,9.01,47.21
0,128,8,512,128,15,52.1,57.58,9.15,48.43
0,128,8,512,128,20,56.47,57.41,8.92,48.49
0,128,8,512,128,25,61.76,57.6,8.64,48.96
0,128,8,512,128,30,66.02,56.88,8.52,48.37
0,128,16,128,32,10,38.28,47.29,9.79,37.5
0,128,16,128,32,15,38.73,47.47,9.66,37.81
0,128,16,128,32,20,38.87,48.02,9.92,38.09
0,128,16,128,32,25,38.9,47.95,9.65,38.3
0,128,16,128,32,30,39.06,47.64,9.72,37.92
0,128,16,128,64,10,37.46,46.72,9.85,36.87
0,128,16,128,64,15,37.95,47.09,9.91,37.18
0,128,16,128,64,20,38.35,48.09,10.07,38.02
0,128,16,128,64,25,44.49,53.64,9.34,44.31
0,128,16,128,64,30,48.46,56.09,8.75,47.33
0,128,16,128,128,10,37.42,46.43,9.26,37.17
0,128,16,128,128,15,41.77,51.85,9.98,41.87
0,128,16,128,128,20,46.27,53.84,8.2,45.64
0,128,16,128,128,25,48.45,55.35,8.97,46.37
0,128,16,128,128,30,50.63,55.53,8.6,46.93
0,128,16,256,32,10,47.85,55.59,8.6,46.99
0,128,16,256,32,15,50.22,56.88,8.79,48.09
0,128,16,256,32,20,52.36,57.43,8.85,48.59
0,128,16,256,32,25,54.18,57.55,8.77,48.78
0,128,16,256,32,30,56.21,57.65,8.66,48.99
0,128,16,256,64,10,47.96,56.89,9.13,47.76
0,128,16,256,64,15,52.61,58.54,9.04,49.5
0,128,16,256,64,20,58.81,58.85,8.83,50.02
0,128,16,256,64,25,65.02,58.11,8.45,49.66
0,128,16,256,64,30,69.56,57.51,8.27,49.23
0,128,16,256,128,10,39.15,49.95,10.0,39.95
0,128,16,256,128,15,48.06,55.98,8.83,47.15
0,128,16,256,128,20,52.43,58.82,9.38,49.44
0,128,16,256,128,25,58.46,59.42,8.96,50.47
0,128,16,256,128,30,65.03,59.03,8.74,50.28
0,128,16,512,32,10,38.51,48.73,10.4,38.33
0,128,16,512,32,15,39.36,49.45,10.72,38.73
0,128,16,512,32,20,39.71,49.58,10.71,38.87
0,128,16,512,32,25,39.96,49.93,10.67,39.26
0,128,16,512,32,30,40.08,49.73,10.45,39.27
0,128,16,512,64,10,53.6,58.9,9.19,49.71
0,128,16,512,64,15,59.33,59.51,8.94,50.57
0,128,16,512,64,20,64.99,59.26,8.78,50.48
0,128,16,512,64,25,69.63,58.75,9.13,49.62
0,128,16,512,64,30,72.99,57.92,8.84,49.08
0,128,16,512,128,10,52.8,58.75,8.89,49.86
0,128,16,512,128,15,60.98,59.06,8.61,50.45
0,128,16,512,128,20,68.56,58.48,8.25,50.22
0,128,16,512,128,25,73.26,57.78,8.06,49.72
0,128,16,512,128,30,76.16,58.03,8.23,49.81
0,128,32,128,32,10,47.97,55.78,8.42,47.36
0,128,32,128,32,15,50.12,56.76,8.55,48.2
0,128,32,128,32,20,52.2,57.11,8.49,48.62
0,128,32,128,32,25,54.17,57.43,8.61,48.82
0,128,32,128,32,30,56.04,56.82,8.5,48.32
0,128,32,128,64,10,39.36,48.85,10.05,38.8
0,128,32,128,64,15,40.47,51.05,10.12,40.93
0,128,32,128,64,20,48.44,56.51,8.81,47.69
0,128,32,128,64,25,50.55,57.87,9.01,48.86
0,128,32,128,64,30,52.4,58.29,8.75,49.53
0,128,32,128,128,10,38.2,48.05,9.71,38.34
0,128,32,128,128,15,39.01,48.64,9.99,38.64
0,128,32,128,128,20,39.55,49.14,10.01,39.12
0,128,32,128,128,25,40.04,49.46,10.1,39.36
0,128,32,128,128,30,40.45,49.99,10.23,39.76
0,128,32,256,32,10,44.24,54.25,9.81,44.44
0,128,32,256,32,15,49.15,57.27,8.99,48.28
0,128,32,256,32,20,50.77,57.5,8.57,48.94
0,128,32,256,32,25,52.05,58.06,8.87,49.19
0,128,32,256,32,30,53.02,58.27,8.59,49.69
0,128,32,256,64,10,54.09,59.05,8.62,50.43
0,128,32,256,64,15,60.46,59.32,8.57,50.75
0,128,32,256,64,20,66.04,58.97,8.53,50.44
0,128,32,256,64,25,69.86,58.89,8.22,50.68
0,128,32,256,64,30,72.49,57.87,8.38,49.5
0,128,32,256,128,10,39.66,49.86,9.98,39.88
0,128,32,256,128,15,45.26,55.0,9.55,45.45
0,128,32,256,128,20,50.34,57.7,9.06,48.64
0,128,32,256,128,25,53.06,59.01,9.01,50.0
0,128,32,256,128,30,56.27,59.56,8.91,50.65
0,128,32,512,32,10,59.67,61.81,9.22,52.59
0,128,32,512,32,15,66.22,62.31,9.04,53.27
0,128,32,512,32,20,71.05,61.74,8.8,52.94
0,128,32,512,32,25,74.34,61.2,8.69,52.51
0,128,32,512,32,30,76.46,61.03,8.58,52.46
0,128,32,512,64,10,58.03,61.27,9.31,51.95
0,128,32,512,64,15,66.57,60.86,8.62,52.23
0,128,32,512,64,20,73.49,60.53,8.87,51.67
0,128,32,512,64,25,77.87,60.43,8.62,51.8
0,128,32,512,64,30,80.77,60.27,8.69,51.58
0,128,32,512,128,10,55.48,60.31,9.11,51.2
0,128,32,512,128,15,63.71,60.61,8.78,51.84
0,128,32,512,128,20,71.3,60.31,8.84,51.47
0,128,32,512,128,25,76.34,59.86,8.4,51.46
0,128,32,512,128,30,79.47,59.66,8.16,51.5
0,256,8,128,32,10,36.09,45.94,9.69,36.25
0,256,8,128,32,15,36.27,46.24,9.49,36.75
0,256,8,128,32,20,36.36,46.39,9.67,36.72
0,256,8,128,32,25,36.38,46.59,9.97,36.63
0,256,8,128,32,30,40.61,51.21,10.1,41.1
0,256,8,128,64,10,36.14,46.27,9.95,36.32
0,256,8,128,64,15,36.32,46.08,9.3,36.78
0,256,8,128,64,20,36.37,46.2,9.36,36.83
0,256,8,128,64,25,36.45,46.07,9.41,36.67
0,256,8,128,64,30,36.44,46.58,9.63,36.96
0,256,8,128,128,10,36.3,46.06,9.49,36.57
