Trace,Baseline,Accuracy,Coverage,MPKI,MPKI_Improvement,IPC,IPC_Improvement,,Trace,Baseline,Accuracy,Coverage,MPKI,MPKI_Improvement,IPC,IPC_Improvement
459.GemsFDTD-s0.trace.gz,no,N/A,0,34.65942333,N/A,0.304308,N/A,,,,,,,,,
459.GemsFDTD-s0.trace.gz,bo,88.74660944,77.23638843,7.905596667,77.19073588,0.605786,99.07002116,,,,,,,,,
459.GemsFDTD-s0.trace.gz,sisb,97.6779737,26.14835746,25.59597,26.15038879,0.320804,5.420823639,,,,,,,,,
459.GemsFDTD-s0.trace.gz,sisb_bo,92.34558137,65.49437657,11.97838333,65.43991292,0.503731,65.5332755,,,,,,,,,
459.GemsFDTD-s1.trace.gz,no,N/A,0,26.3699364,N/A,0.438683,N/A,,,,,,,,,
459.GemsFDTD-s1.trace.gz,bo,74.75200056,72.83933302,7.171449928,72.80593927,0.747299,70.35057205,,,,,,,,,
459.GemsFDTD-s1.trace.gz,sisb,64.45028419,18.53874491,21.48532979,18.52786132,0.454549,3.616734635,,,,,,,,,
459.GemsFDTD-s1.trace.gz,sisb_bo,75.62054352,66.18352108,8.926819911,66.14959524,0.686568,56.50663463,,,,,,,,,
459.GemsFDTD-s2.trace.gz,no,N/A,0,27.43683991,N/A,0.373209,N/A,,,,,,,,,
459.GemsFDTD-s2.trace.gz,bo,89.58133676,63.56610869,10.05084997,63.38588199,0.560398,50.15661466,,,,,,,,,
459.GemsFDTD-s2.trace.gz,sisb,86.14358243,31.2119202,18.95272327,30.95735696,0.400675,7.359415234,,,,,,,,,
459.GemsFDTD-s2.trace.gz,sisb_bo,90.76286939,65.18431187,9.602346635,65.01972927,0.550082,47.39247982,,,,,,,,,
462.libquantum-s0.trace.gz,yours,99.89100746,14.57344566,25.30353325,14.57343605,0.622612,17.02815125,,,,,,,,,
462.libquantum-s0.trace.gz,no,N/A,0,29.62021657,N/A,0.532019,N/A,,,,,,,,,
462.libquantum-s0.trace.gz,bo,99.99492794,86.52647713,3.990886627,86.52647713,0.989077,85.91008968,,,,,,,,,
462.libquantum-s0.trace.gz,sisb,100,23.15501856,22.76164992,23.15501856,0.677222,27.29282225,,,,,,,,,
462.libquantum-s0.trace.gz,sisb_bo,99.99547889,52.0201628,14.21173329,52.0201574,0.908286,70.72435383,,,,,,,,,
462.libquantum-s1.trace.gz,no,N/A,0,28.5242799,N/A,0.611276,N/A,,,,,,,,,
462.libquantum-s1.trace.gz,bo,99.99492524,86.57935158,3.828143321,86.57935158,0.999918,63.57880892,,,,,,,,,
462.libquantum-s1.trace.gz,sisb,100,23.18665595,21.91045326,23.18665595,0.771418,26.19798585,,,,,,,,,
462.libquantum-s1.trace.gz,sisb_bo,99.99559586,53.06565728,13.38768329,53.06565728,0.910497,48.9502287,,,,,,,,,
470.lbm-s0.trace.gz,no,N/A,0,31.72472979,N/A,0.577624,N/A,,,,,,,,,
470.lbm-s0.trace.gz,bo,99.97001114,23.04710004,24.41310984,23.04979241,0.725577,25.61406728,,,,,,,,,
470.lbm-s0.trace.gz,sisb,N/A,0,31.72472979,0.003540751,0.577624,0,,,,,,,,,
470.lbm-s0.trace.gz,sisb_bo,99.97871637,17.71890539,26.10346316,17.72179283,0.705454,22.13031314,,,,,,,,,
470.lbm-s0.trace.gz,yours,99.97590636,9.417319102,28.7371199,9.420497857,0.639069,10.63754276,,,,,,,,,
470.lbm-s1.trace.gz,no,N/A,0,29.9827797,N/A,0.604662,N/A,,,,,,,,,
470.lbm-s1.trace.gz,bo,99.97360051,23.07157385,23.0652831,23.07388296,0.7659,26.66580668,,,,,,,,,
470.lbm-s1.trace.gz,sisb,N/A,0,29.9827797,0.00301275,0.604662,0,,,,,,,,,
