Trace,Baseline,Accuracy,Coverage,MPKI,MPKI_Improvement,IPC,IPC_Improvement
437.leslie3d-s1.trace.gz,sisb,94.57839258638039,40.001957086882506,15.79847656134349,40.05638026030687,0.723877,46.99830841992612
437.leslie3d-s1.trace.gz,sisb_bo,94.51011965826764,49.73195729133871,13.24139324505738,49.758634104783454,0.825757,67.68716531387643
433.milc-s2.trace.gz,no,N/A,0.0,20.49095653006029,N/A,0.568157,N/A
433.milc-s2.trace.gz,yours,100.0,28.413888665664818,14.66867656887549,28.414040052387236,0.667618,17.50590065774073
433.milc-s2.trace.gz,bo,54.66112046739854,41.04963713074679,12.0813265458534,41.040805075529924,0.770498,35.61357160080752
433.milc-s2.trace.gz,sisb,99.97704049818152,36.90558727867875,12.9286465373802,36.90572070758231,0.710217,25.003652159526318
433.milc-s2.trace.gz,sisb_bo,71.941352028023,49.16456565091366,10.4175698958243,49.16025721215122,0.810864,42.718297935253815
433.milc-s0.trace.gz,no,N/A,0.0,24.372579918758067,N/A,0.472517,N/A
433.milc-s0.trace.gz,yours,99.98558927745364,33.87645382233552,16.11598327961339,33.87679747170259,0.543017,14.920098112872118
433.milc-s0.trace.gz,bo,75.08700140902202,59.441773089675145,9.885306633715645,59.44100206269375,0.728514,54.17731002270817
433.milc-s0.trace.gz,sisb,99.993682537677,43.07854743591146,13.873199953756,43.07884326126077,0.594425,25.79970667722007
433.milc-s0.trace.gz,sisb_bo,72.8249771587695,56.95845855196162,10.490483298365056,56.95798762493165,0.712645,50.81891233542919
429.mcf-s2.trace.gz,no,N/A,0.0,70.07688976641037,N/A,0.0968111,N/A
429.mcf-s2.trace.gz,yours,82.25551696375247,37.7288617056076,44.14569318618103,37.11998629561513,0.118443,22.344441908004363
429.mcf-s2.trace.gz,bo,N/A,0.0,70.07688976641037,0.18424288211417875,0.0968111,0.0
429.mcf-s2.trace.gz,sisb,71.616358591692,48.59249345395342,35.99062654669791,48.735857857269295,0.124494,28.594758245697026
429.mcf-s2.trace.gz,sisb_bo,68.75827940471805,48.12887860200198,36.348226545505916,48.226501423994975,0.124166,28.255954120963406
473.astar-s1.trace.gz,no,N/A,0.0,2.3199399922668666,N/A,0.447842,N/A
473.astar-s1.trace.gz,yours,94.58990901756277,48.59990303600577,1.1944799960184,48.56035485121226,0.47905,6.968529079452118
